idx,class
3834,RightWhale
4237,RightWhale
10860,NoWhale
7852,RightWhale
6678,NoWhale
7376,RightWhale
8256,NoWhale
157,NoWhale
9728,NoWhale
9363,NoWhale
1441,NoWhale
10511,NoWhale
8185,RightWhale
8736,NoWhale
5030,RightWhale
10481,RightWhale
9466,RightWhale
1963,RightWhale
6451,NoWhale
2899,NoWhale
5471,NoWhale
7644,NoWhale
2855,NoWhale
8733,RightWhale
3397,NoWhale
1543,RightWhale
4995,NoWhale
9096,RightWhale
8947,NoWhale
6839,NoWhale
8743,NoWhale
8574,NoWhale
603,NoWhale
9476,NoWhale
10601,RightWhale
393,NoWhale
10013,RightWhale
10079,RightWhale
5100,NoWhale
7364,NoWhale
6147,RightWhale
5381,NoWhale
7510,RightWhale
6187,NoWhale
3870,RightWhale
5204,RightWhale
6785,RightWhale
7260,RightWhale
6964,RightWhale
7978,NoWhale
2519,NoWhale
401,NoWhale
6553,NoWhale
1631,NoWhale
2317,NoWhale
2484,NoWhale
5785,RightWhale
4459,RightWhale
4394,RightWhale
3652,RightWhale
3533,NoWhale
5281,NoWhale
6977,RightWhale
5735,RightWhale
9638,NoWhale
3910,RightWhale
2067,NoWhale
4156,RightWhale
1599,NoWhale
4474,RightWhale
1385,NoWhale
8360,NoWhale
4429,RightWhale
1405,NoWhale
809,NoWhale
2029,RightWhale
7233,NoWhale
3068,RightWhale
10828,RightWhale
8541,RightWhale
1702,NoWhale
7477,RightWhale
10679,NoWhale
2534,NoWhale
9101,NoWhale
10092,RightWhale
7704,NoWhale
10871,NoWhale
1880,RightWhale
2473,RightWhale
6518,NoWhale
9472,NoWhale
9791,RightWhale
6625,NoWhale
8134,NoWhale
3387,RightWhale
6804,NoWhale
3396,RightWhale
7539,RightWhale
1046,RightWhale
4609,RightWhale
4333,NoWhale
6462,RightWhale
1568,NoWhale
462,NoWhale
743,NoWhale
222,NoWhale
9206,NoWhale
4919,NoWhale
9976,RightWhale
625,RightWhale
3079,RightWhale
7724,NoWhale
2177,RightWhale
8261,NoWhale
6503,RightWhale
5874,RightWhale
6875,NoWhale
5098,NoWhale
7729,NoWhale
353,RightWhale
2894,NoWhale
456,NoWhale
9963,NoWhale
8772,NoWhale
239,RightWhale
5169,RightWhale
10844,NoWhale
8049,RightWhale
2319,NoWhale
5914,NoWhale
7134,NoWhale
1018,RightWhale
5804,RightWhale
7436,NoWhale
1760,RightWhale
2589,NoWhale
9615,NoWhale
9289,NoWhale
1103,RightWhale
8994,NoWhale
2522,NoWhale
3050,NoWhale
5176,RightWhale
2932,RightWhale
10033,NoWhale
10107,RightWhale
10306,RightWhale
3379,RightWhale
6483,RightWhale
8829,RightWhale
9211,RightWhale
5912,RightWhale
1034,NoWhale
10670,RightWhale
4190,NoWhale
4119,NoWhale
2678,NoWhale
906,NoWhale
6634,RightWhale
7502,RightWhale
6847,RightWhale
4026,RightWhale
8478,NoWhale
7127,RightWhale
2286,NoWhale
5257,RightWhale
5481,RightWhale
10838,NoWhale
